,id,標題,看板,留言數,心情數,收藏數,createdAt,updatedAt
64,240137432,約砲被嗆讀學店,mood,737,3043,55,2022-10-01T02:15:37.789Z,2022-10-01T22:58:41.268Z
65,240199941,長大才知道，妳是老爸留給我最好的禮物,mood,69,3036,38,2022-10-08T15:12:56.888Z,2022-10-08T15:15:38.711Z
66,227825358,低學歷的認知偏誤,mood,2996,3009,0,2017-12-02T01:28:03.671Z,2018-06-25T10:38:49.638Z
67,229327222,長達多年做家長的第二人生，我終於只是我了。,mood,115,2991,0,2018-07-27T10:45:07.531Z,2018-07-29T13:31:31.849Z
68,234155714,#創作_最優雅的辦公室復仇,novel,75,2987,4,2020-08-02T01:49:37.514Z,2020-12-08T05:24:35.217Z
69,234041302,Dcard文理組吵架的差別｜更,exam,417,2956,0,2020-07-12T18:34:52.515Z,2020-12-08T05:44:20.383Z
70,233042254,更新)一個學店生成功翻轉台大的故事,exam,351,2799,18,2020-02-08T19:26:58.237Z,2020-12-08T05:44:26.315Z
71,228346069,#新聞 只因交了亞裔男友，德國美女網紅被噴「種族叛徒」，還收到死亡威脅,trending,164,2799,0,2018-02-22T02:31:56.877Z,2018-06-12T07:30:10.465943Z
72,231476621,投對胎比努力重要,exam,212,2756,0,2019-06-11T18:24:20.485Z,2020-12-08T05:44:01.933Z
73,237227587,火災逃難一定要戴口罩嗎^_^,mood,128,2749,0,2021-10-15T01:38:15.405Z,2021-10-15T02:51:41.785Z
74,234091028,請問這個小孩是偉人嗎？,talk,658,2690,0,2020-07-21T12:53:32.116Z,2020-07-23T12:16:27.841Z
75,235158041,盤點高中惹人厭大型社團會出現的專有名詞,funny,194,2666,4,2021-01-12T07:15:30.563Z,2021-01-12T07:25:40.558Z
76,229481384,＃更新　大學打工賺學貸 所以你是來讀書的還是來還債的？,freshman,413,2638,1,2018-08-21T21:59:19.965Z,2018-08-23T07:54:01.874Z
